,experiment,headstage,Kcluster
2,2018_02_28_exp2_TH,0,1
37,2018_05_07_exp1_CAB,2,0
39,2018_05_07_exp4_AB,1,0
40,2018_05_08_exp1_AB,1,0
112,2018_08_21_exp2_CAB,1,0
121,2018_08_30_exp2_TH,3,0
126,2018_09_06_exp3_TH,1,0
166,2018_10_18_exp1_CAB,1,0
170,2018_10_19_exp1_CAB,3,0
179,2018_11_15_exp2_TH,1,1
182,2018_11_19_exp1_CAB,1,1
198,2018_11_30_exp2_TH,2,1
213,2018_12_13_exp1_CAB,1,0
245,2019_01_24_exp1_TH,0,1
253,2019_02_15_exp1_TH,1,1
254,2019_02_15_exp1_TH,3,0
255,2019_02_15_exp2_TH,0,1
261,2019_02_18_exp1_TH,1,0
267,2019_02_20_exp1_TH,1,1
273,2019_02_28_exp1_TH,1,1
280,2019_03_04_exp1_TH,0,2
296,2019_03_12_exp1_TH,0,0
305,2019_03_15_exp1_TH,1,2
314,2019_03_19_exp2_TH,2,2
315,2019_03_20_exp1_TH,1,1
327,2019_04_05_exp1_TH,1,1
339,2019_04_09_exp1_TH,3,0
340,2019_04_12_exp1_TH,0,0
343,2019_04_15_exp2_TH,3,1
363,2019_05_06_exp1_TH,0,0
364,2019_05_06_exp2_TH,2,0
376,2019_05_09_exp2_TH,2,1
387,2019_05_17_exp2_TH,1,0
400,2019_05_29_exp2_TH,0,1
403,2019_06_05_exp2_TH,0,0
405,2019_06_05_exp2_TH,2,0
432,2019_07_22_exp1_TH,1,2
443,2019_08_09_exp3_TH,0,1
471,2020_01_31_exp1_TH,1,2
478,2020_02_03_exp1_TH,3,2
479,2020_02_03_exp2_TH,1,2
482,2020_02_03_exp3_TH,1,2
485,2020_02_18_exp1_TH,0,1
487,2020_02_19_exp1_TH,0,2
495,2020_02_26_exp1_TH,0,1
498,2020_02_26_exp2_TH,3,1
506,2020_05_21_exp1_TH,3,0
513,2020_05_26_exp2_TH,3,1
518,2020_05_27_exp3_TH,0,1
520,2020_05_28_exp2_TH,0,1
521,2020_05_28_exp2_TH,1,1
526,2020_05_29_exp1_TH,2,0
542,2020_06_11_exp2_TH,1,1
558,2020_07_02_exp1_TH,2,0
560,2020_07_02_exp3_TH,0,1
564,2020_07_02_exp4_TH,2,0
565,2020_07_03_exp2_TH,1,1
568,2020_07_03_exp4_TH,1,2
578,2020_07_10_exp2_TH,0,1
579,2020_07_10_exp2_TH,1,2
591,2020_07_19_exp1_TH,1,1
594,2020_07_19_exp2_TH,2,0
596,2020_07_23_exp1_TH,2,1
601,2020_07_24_exp2_TH,0,2
603,2020_07_24_exp2_TH,3,1
604,2020_07_24_exp3_TH,0,1
605,2020_07_24_exp3_TH,1,1
611,2020_07_26_exp3_TH,0,2
613,2020_07_26_exp3_TH,2,1
625,2020_08_02_exp2_TH,0,0
628,2020_08_02_exp3_TH,1,0
634,2020_08_13_exp1_TH,0,0
636,2020_08_13_exp1_TH,3,0
639,2020_08_13_exp2_TH,2,2
646,2020_08_20_exp2_TH,3,0
652,2020_08_21_exp1_TH,3,1
661,2020_09_03_exp1_TH,3,1
663,2020_09_03_exp2_TH,1,1
664,2020_09_03_exp2_TH,2,1
665,2020_09_03_exp2_TH,3,1
667,2020_09_04_exp2_TH,0,1
683,2020_09_25_exp1_TH,3,0
685,2020_10_16_exp1_TH,0,1
687,2020_10_16_exp1_TH,2,0
690,2020_10_22_exp1_TH,1,1
691,2020_10_22_exp1_TH,3,0
697,2020_10_23_exp2_TH,1,1
700,2020_10_30_exp1_TH,3,0
702,2020_10_30_exp2_TH,3,0
707,2020_11_05_exp4_TH,0,0
713,2020_11_06_exp3_TH,0,0
715,2020_11_12_exp1_TH,0,2
718,2020_11_12_exp2_TH,3,2
721,2020_11_13_exp2_TH,1,1
722,2020_11_13_exp3_TH,1,1
728,2020_11_19_exp3_TH,2,0
730,2020_11_20_exp1_TH,3,1
756,2017_11_27_exp1_TH,0,1
763,2018_03_21_exp1_AB,1,1
774,2018_10_16_exp1_TH,1,0
775,2018_04_23_exp1_TH,1,1
776,2018_04_23_exp3_AB,1,1
777,2018_12_14_exp1_TH,0,0
778,2018_12_14_exp1_TH,1,1
779,2019_02_13_exp1_TH,3,1
780,2019_08_09_exp2_TH,0,1
781,2020_09_03_exp1_TH,0,1